algorithm,N,seed,iteration,PTNR,gain,null_depth,SLL
Strain-Guided Pipeline,16,0,1,29.078925458964335,-2.890853139420532,-7.887378945266371,7.081705933015611
Strain-Guided Pipeline,16,0,2,31.05757208632079,-3.3376787945826045,-10.312851227784897,8.034784919814621
Strain-Guided Pipeline,16,0,3,30.548606633417464,-2.095009244682565,-8.56121622498153,9.373706829793187
Strain-Guided Pipeline,16,0,4,30.548606633417464,-2.095009244682565,-8.56121622498153,9.373706829793187
Strain-Guided Pipeline,16,0,5,33.28994800087377,-1.2375693602335964,-10.445117707988873,10.993009578533377
Strain-Guided Pipeline,16,0,6,33.28994800087377,-1.2375693602335964,-10.445117707988873,10.993009578533377
Strain-Guided Pipeline,16,0,7,31.855387640648516,-4.162179050569296,-11.935167038099317,5.853350976422011
Strain-Guided Pipeline,16,0,8,33.64081697176617,-4.178647486795761,-13.737064805443433,6.206314410528545
Strain-Guided Pipeline,16,0,9,33.64081697176617,-4.178647486795761,-13.737064805443433,6.206314410528545
Strain-Guided Pipeline,16,0,10,41.618415905250615,-3.9806217303571287,-21.516637982489247,7.898645323078392
Strain-Guided Pipeline,16,0,11,37.32854214678814,-3.9213349760237755,-17.16747746969342,8.679309424287263
Strain-Guided Pipeline,16,0,12,37.32854214678814,-3.9213349760237755,-17.16747746969342,8.679309424287263
Strain-Guided Pipeline,16,0,13,39.535704529782464,-4.563833849913994,-20.017138726577965,8.649095486317204
Strain-Guided Pipeline,16,0,14,39.535704529782464,-4.563833849913994,-20.017138726577965,8.649095486317204
Strain-Guided Pipeline,16,0,15,39.535704529782464,-4.563833849913994,-20.017138726577965,8.649095486317204
Strain-Guided Pipeline,16,0,16,39.535704529782464,-4.563833849913994,-20.017138726577965,8.649095486317204
Strain-Guided Pipeline,16,0,17,39.535704529782464,-4.563833849913994,-20.017138726577965,8.649095486317204
Strain-Guided Pipeline,16,0,18,39.535704529782464,-4.563833849913994,-20.017138726577965,8.649095486317204
Strain-Guided Pipeline,16,0,19,40.18923027496281,-4.098477429622292,-20.20530805146661,8.435989613486589
Strain-Guided Pipeline,16,0,20,40.18923027496281,-4.098477429622292,-20.20530805146661,8.435989613486589
Strain-Guided Pipeline,16,0,21,40.18923027496281,-4.098477429622292,-20.20530805146661,8.435989613486589
Strain-Guided Pipeline,16,0,22,40.18923027496281,-4.098477429622292,-20.20530805146661,8.435989613486589
Strain-Guided Pipeline,16,0,23,40.18923027496281,-4.098477429622292,-20.20530805146661,8.435989613486589
Strain-Guided Pipeline,16,0,24,40.18923027496281,-4.098477429622292,-20.20530805146661,8.435989613486589
Strain-Guided Pipeline,16,0,25,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,26,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,27,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,28,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,29,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,30,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,31,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,32,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,33,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,34,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,35,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,36,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,37,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,38,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,39,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,40,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,41,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,42,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,43,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,44,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,45,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,46,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,47,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,48,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,49,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,0,50,41.983393362643035,-4.472264833861733,-22.37325854338627,7.523098564866855
Strain-Guided Pipeline,16,1,1,15.833261903950675,-11.109697554038535,-2.8605598048707126,8.746606135673325
Strain-Guided Pipeline,16,1,2,15.833261903950675,-11.109697554038535,-2.8605598048707126,8.746606135673325
Strain-Guided Pipeline,16,1,3,13.239406283417189,-18.36468065091651,-7.521687281215203,6.001096010450643
Strain-Guided Pipeline,16,1,4,18.10552700930951,-24.680375287616894,-18.70350264380791,-2.279348987821609
Strain-Guided Pipeline,16,1,5,26.50021344139449,-22.873968847301796,-25.29178263557779,-3.387825852254245
Strain-Guided Pipeline,16,1,6,24.56782689132918,-24.26532889412439,-24.750756132335074,-1.1593221509862635
Strain-Guided Pipeline,16,1,7,24.56782689132918,-24.26532889412439,-24.750756132335074,-1.1593221509862635
Strain-Guided Pipeline,16,1,8,24.56782689132918,-24.26532889412439,-24.750756132335074,-1.1593221509862635
Strain-Guided Pipeline,16,1,9,34.28393746620088,-29.56014317816653,-39.761680991248916,-11.996774392420857
Strain-Guided Pipeline,16,1,10,34.28393746620088,-29.56014317816653,-39.761680991248916,-11.996774392420857
Strain-Guided Pipeline,16,1,11,34.28393746620088,-29.56014317816653,-39.761680991248916,-11.996774392420857
