algorithm,seed,iteration,PTNR,gain,null_depth,lr_step,offset_changes
Fixed (Baseline),0,1,24.93881313677624,33.31712651519191,8.378313378415669,0.05,0
Fixed (Baseline),0,2,19.955291005708077,32.46395819752973,12.50866719182165,0.025,0
Fixed (Baseline),0,3,18.678754239555516,32.29880499050314,13.620050750947627,0.0125,0
Fixed (Baseline),0,4,19.970344271757575,32.081443853804444,12.111099582046867,0.00625,0
Fixed (Baseline),0,5,20.062441836775392,31.66693950322586,11.604497666450468,0.003125,0
Fixed (Baseline),0,6,18.592837380071586,31.505533029494792,12.912695649423206,0.0015625,0
Fixed (Baseline),0,7,18.476653320955904,31.526292373007976,13.04963905205207,0.0017187500000000002,0
Fixed (Baseline),0,8,18.294730537873285,31.534169227340236,13.239438689466953,0.0018906250000000004,0
Fixed (Baseline),0,9,18.241922416229833,31.552476473921317,13.310554057691483,0.0020796875000000004,0
Fixed (Baseline),0,10,18.316313899276796,31.566891283360942,13.250577384084146,0.0022876562500000006,0
Fixed (Baseline),0,11,18.397819869809076,31.57395979444523,13.176139924636152,0.002516421875000001,0
Fixed (Baseline),0,12,18.55471448057432,31.579517772051034,13.024803291476713,0.002768064062500001,0
Fixed (Baseline),0,13,18.75003737210337,31.58553730439114,12.835499932287766,0.0030448704687500014,0
Fixed (Baseline),0,14,18.961269968116333,31.590573374905752,12.629303406789417,0.0033493575156250018,0
Fixed (Baseline),0,15,19.11427702409535,31.596305987024884,12.482028962929533,0.003684293267187502,0
Fixed (Baseline),0,16,19.24409462459538,31.602646173172264,12.358551548576884,0.004052722593906252,0
Fixed (Baseline),0,17,19.39507516303466,31.609919249533405,12.214844086498745,0.0044579948532968774,0
Fixed (Baseline),0,18,19.659454010771455,31.61306341138282,11.953609400611365,0.0049037943386265655,0
Fixed (Baseline),0,19,19.911243712835144,31.61370793553551,11.702464222700362,0.005394173772489222,0
Fixed (Baseline),0,20,20.101526708339563,31.618497653845946,11.516970945506381,0.005933591149738145,0
Fixed (Baseline),0,21,20.209784593919018,31.61622524955531,11.406440655636294,0.00652695026471196,0
Fixed (Baseline),0,22,20.41891218085668,31.61124351704924,11.192331336192561,0.007179645291183157,0
Fixed (Baseline),0,23,20.683954424116266,31.606363922768974,10.922409498652707,0.007897609820301472,0
Fixed (Baseline),0,24,20.917321217437266,31.588486117310328,10.671164899873062,0.008687370802331621,0
Fixed (Baseline),0,25,21.155176686882704,31.567550632220748,10.412373945338045,0.009556107882564785,0
Fixed (Baseline),0,26,21.43124199251128,31.545252904176774,10.114010911665495,0.010511718670821265,0
Fixed (Baseline),0,27,21.89866892989529,31.52051054480153,9.621841614906241,0.011562890537903391,0
Fixed (Baseline),0,28,22.443302260319676,31.48538440835532,9.042082148035643,0.012719179591693731,0
Fixed (Baseline),0,29,22.61934659109442,31.472944139495684,8.853597548401265,0.0063595897958468655,0
Fixed (Baseline),0,30,22.619830748637156,31.47018876631997,8.850358017682813,0.0031797948979234328,0
Fixed (Baseline),0,31,22.809410457485846,31.464531144151483,8.655120686665638,0.0034977743877157765,0
Fixed (Baseline),0,32,22.87336155218832,31.456492104807978,8.583130552619656,0.0038475518264873545,0
Fixed (Baseline),0,33,22.910963452583538,31.446915466198554,8.535952013615015,0.004232307009136091,0
Fixed (Baseline),0,34,22.972090080915592,31.43660684755718,8.464516766641585,0.0046555377100497,0
Fixed (Baseline),0,35,22.9642990815531,31.422558241190632,8.458259159637532,0.00512109148105467,0
Fixed (Baseline),0,36,23.027845253505802,31.41156945417176,8.383724200665961,0.005633200629160138,0
Fixed (Baseline),0,37,23.01135312761576,31.401332691346155,8.389979563730396,0.006196520692076152,0
Fixed (Baseline),0,38,23.042143175436387,31.39238224766984,8.350239072233455,0.0068161727612837675,0
Fixed (Baseline),0,39,23.04590345191236,31.372672875278308,8.326769423365949,0.007497790037412144,0
Fixed (Baseline),0,40,23.024894991319528,31.368874715360036,8.343979724040507,0.003748895018706072,0
Fixed (Baseline),0,41,22.946193596244505,31.367815980159573,8.421622383915066,0.001874447509353036,0
Fixed (Baseline),0,42,22.87590249162275,31.367611622660764,8.491709131038014,0.00206189226028834,0
Fixed (Baseline),0,43,22.823244868834735,31.368560092397665,8.545315223562929,0.0022680814863171744,0
Fixed (Baseline),0,44,22.767149644182716,31.363587549243086,8.596437905060368,0.002494889634948892,0
Fixed (Baseline),0,45,22.749315118298036,31.36054061298083,8.611225494682797,0.0027443785984437815,0
Fixed (Baseline),0,46,22.751737174580555,31.35938390263357,8.607646728053016,0.0030188164582881597,0
Fixed (Baseline),0,47,22.709693493120902,31.35739473168026,8.647701238559355,0.003320698104116976,0
Fixed (Baseline),0,48,22.690799139365314,31.351386626680817,8.660587487315503,0.0036527679145286736,0
Fixed (Baseline),0,49,22.675163600235642,31.345967989617705,8.670804389382063,0.004018044705981542,0
Fixed (Baseline),0,50,22.682416119242625,31.341656084945303,8.659239965702676,0.004419849176579696,0
Fixed (Baseline),0,51,22.697388747903325,31.33118513213748,8.633796384234156,0.004861834094237666,0
Fixed (Baseline),0,52,22.690644700928274,31.330710338956074,8.6400656380278,0.002430917047118833,0
Fixed (Baseline),0,53,22.670116701913713,31.337301054759955,8.667184352846244,0.0012154585235594165,0
Fixed (Baseline),0,54,22.652888766804182,31.340461482902057,8.687572716097876,0.0013370043759153582,0
Fixed (Baseline),0,55,22.634612971337518,31.344064253509632,8.709451282172116,0.0014707048135068942,0
Fixed (Baseline),0,56,22.617638226669946,31.347615653570337,8.729977426900392,0.0016177752948575838,0
Fixed (Baseline),0,57,22.602045375614182,31.351115959587684,8.7490705839735,0.0017795528243433423,0
Fixed (Baseline),0,58,22.591534255134,31.354698973891576,8.763164718757576,0.0019575081067776767,0
Fixed (Baseline),0,59,22.578263108060803,31.35806107666867,8.779797968607864,0.0021532589174554444,0
Fixed (Baseline),0,60,22.589912794067665,31.358464357276826,8.768551563209163,0.002368584809200989,0
Fixed (Baseline),0,61,22.612542444832627,31.35761828564081,8.745075840808182,0.0026054432901210884,0
Fixed (Baseline),0,62,22.636156226685657,31.35677087581161,8.72061464912595,0.0028659876191331974,0
Fixed (Baseline),0,63,22.660842295091012,31.35591714974801,8.695074854656998,0.0031525863810465174,0
Fixed (Baseline),0,64,22.68703496015723,31.355241265580617,8.668206305423386,0.0034678450191511696,0
Fixed (Baseline),0,65,22.714336100164154,31.35461461424861,8.640278514084457,0.003814629521066287,0
Fixed (Baseline),0,66,22.74456204004626,31.354169922445454,8.609607882399194,0.004196092473172916,0
Fixed (Baseline),0,67,22.776784982862097,31.345796294331493,8.569011311469394,0.004615701720490208,0
Fixed (Baseline),0,68,22.78072397887669,31.346439861452616,8.565715882575926,0.002307850860245104,0
Fixed (Baseline),0,69,22.785522058877078,31.351340593226116,8.565818534349038,0.001153925430122552,0
Fixed (Baseline),0,70,22.78979675420272,31.349816999119543,8.560020244916826,0.0012693179731348074,0
Fixed (Baseline),0,71,22.78455068835973,31.348526563283798,8.563975874924068,0.0013962497704482883,0
Fixed (Baseline),0,72,22.77921536403089,31.34756723982679,8.5683518757959,0.0015358747474931173,0
Fixed (Baseline),0,73,22.770831657779134,31.345436744429094,8.574605086649962,0.0016894622222424292,0
Fixed (Baseline),0,74,22.75906321443353,31.34316628718874,8.584103072755207,0.0018584084444666722,0
Fixed (Baseline),0,75,22.774872109335448,31.341145076066145,8.566272966730699,0.0020442492889133396,0
Fixed (Baseline),0,76,22.793048213480567,31.339966430020382,8.546918216539817,0.0022486742178046736,0
Fixed (Baseline),0,77,22.800090566999565,31.33865913403723,8.538568567037666,0.002473541639585141,0
Fixed (Baseline),0,78,22.798577183984605,31.335584282207773,8.53700709822317,0.0027208958035436553,0
Fixed (Baseline),0,79,22.799510901523995,31.33317269829636,8.533661796772366,0.002992985383898021,0
Fixed (Baseline),0,80,22.805053112185306,31.331584364391464,8.52653125220616,0.0032922839222878234,0
Fixed (Baseline),0,81,22.848550039615226,31.32825865649377,8.479708616878543,0.003621512314516606,0
Fixed (Baseline),0,82,22.870519917385437,31.325569337206012,8.455049419820577,0.003983663545968266,0
Fixed (Baseline),0,83,22.921514860943503,31.321507523953585,8.399992663010083,0.004382029900565094,0
Fixed (Baseline),0,84,22.941243958998015,31.318382701531323,8.377138742533306,0.002191014950282547,0
Fixed (Baseline),0,85,22.94044980060827,31.32134024122184,8.38089044061357,0.0010955074751412735,0
Fixed (Baseline),0,86,22.955763076846253,31.319439044140267,8.363675967294016,0.0012050582226554008,0
Fixed (Baseline),0,87,22.971858803415948,31.317600174446657,8.34574137103071,0.0013255640449209409,0
Fixed (Baseline),0,88,22.988266313563727,31.315798386734045,8.327532073170318,0.001458120449413035,0
Fixed (Baseline),0,89,22.99765929109908,31.313780750689794,8.316121459590715,0.0016039324943543387,0
Fixed (Baseline),0,90,23.008208904172577,31.311835151461075,8.303626247288499,0.0017643257437897728,0
Fixed (Baseline),0,91,23.096962006184523,31.310402366605963,8.21344036042144,0.0019407583181687501,0
Fixed (Baseline),0,92,23.12557620204674,31.311664375396674,8.186088173349933,0.001,0
Fixed (Baseline),0,93,23.145310777817762,31.31049775682987,8.16518697901211,0.0011,0
Fixed (Baseline),0,94,23.165494118859073,31.309396794138745,8.143902675279673,0.0012100000000000001,0
Fixed (Baseline),0,95,23.189260309563927,31.30808216741544,8.11882185785151,0.0013310000000000002,0
Fixed (Baseline),0,96,23.21433470333468,31.30579594775517,8.091461244420492,0.0014641000000000003,0
Fixed (Baseline),0,97,23.21228381060156,31.30444182156618,8.09215801096462,0.0016105100000000005,0
Fixed (Baseline),0,98,23.213504507305686,31.3030721631384,8.089567655832711,0.0017715610000000007,0
Fixed (Baseline),0,99,23.22512908403776,31.300800554783933,8.075671470746174,0.0019487171000000009,0
Fixed (Baseline),0,100,23.215572854874196,31.298156819163474,8.08258396428928,0.002143588810000001,0
Fixed (Baseline),0,101,23.224238146020195,31.297099120136558,8.072860974116363,0.0023579476910000016,0
