% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, elapsed wallclock time [s], further/more values", seed=91562, Sun Jun 21 09:08:42 2026, <python>{}</python>
1 14 3.4635644189365653 1.0000484386731145 10.833349379785913 1.0833349379785913e+01 22.470519379412657 66.18879940765108 28.098982991004263 15.432415764258215 nan 0.0   
2 28 3.2908914489032877 1.0565276588570855 1.6939425035148488 1.6939425035148488e+00 22.49894721520249 58.270940356868444 16.426571389083204 17.748500687411774 nan 0.0   
3 42 3.2140911088440016 1.0741725632790562 1.6939425035148488 1.1616963213367672e+01 21.93296286743269 66.49496058782569 19.324430275984813 20.815389574355198 nan 0.0   
4 56 3.090605366174371 1.0886496370402157 1.6939425035148488 6.4686814680725444e+00 31.632656450298086 69.55238089694933 16.932754912114525 20.317954255205095 nan 0.1   
5 70 3.0132563359098743 1.1100118884462955 1.6939425035148488 1.5184379256898628e+01 31.509585445640155 76.07457474228411 19.64235679955876 20.7180207779391 nan 0.1   
6 84 3.0140701438704935 1.1213745032690838 1.6939425035148488 8.3475965648093418e+00 38.397455644140464 85.48323382543315 23.81224994975732 22.342595063495796 nan 0.1   
7 98 2.9558000577266283 1.144762327453205 1.6939425035148488 1.4262571169025726e+01 27.464841463038915 82.44311826663457 17.33378798888173 16.221042113993875 nan 0.1   
8 112 3.0147570192149815 1.158018417732658 1.6939425035148488 9.1250022366602064e+00 25.50756279470107 104.86669066729885 28.005104498781744 12.167533217830485 nan 0.1   
9 126 3.057937557104687 1.1923260957527373 1.6939425035148488 5.9032534292329615e+00 20.04509287138842 58.66637124479446 13.91444728760942 13.690717146921127 nan 0.1   
10 140 3.166972999088977 1.223576994763224 1.6939425035148488 6.9968475533504106e+00 24.603145062364312 58.269072904569676 21.500193720609694 14.86709305307739 nan 0.1   
11 154 3.2380222330868995 1.2485237679998933 1.6939425035148488 3.4539951718862527e+00 27.796173818473463 70.26015175477498 25.929411230007368 12.68176479220822 nan 0.2   
12 168 3.4249767628792265 1.2766800231088817 1.6939425035148488 5.0308506223181233e+00 23.65421139997297 97.2264796067235 26.84671461376675 5.290332406209208 nan 0.2   
13 182 3.537611592921281 1.3120198235093286 1.6939425035148488 1.0533130139461800e+01 29.87238986940467 64.95420175647197 29.191376066005496 16.985967678539488 nan 0.2   
14 196 3.6146889697125086 1.345105066386668 1.6939425035148488 6.6729545641441028e+00 27.675946675758546 48.2801068703 19.480361728793397 18.444436168846167 nan 0.2   
15 210 3.7023109313749054 1.3726312458340313 -1.4585323765524674 -1.4585323765524674e+00 35.12655531561313 70.59192456144088 34.81886617680654 17.25746090477357 nan 0.2   
16 224 3.8822267604134226 1.4048467669160138 -1.4585323765524674 -2.8305566319635389e-01 31.848827391703615 56.309047760920805 30.897504093345102 11.08713537781686 nan 0.2   
