% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=91562, Sun Jun 21 09:08:42 2026, <python>{}</python>
1 14 3.4635644189365653 0 0 3.462239560487137 3.465079950966424 3.4701777681155295 3.452736340615572 3.4700769469958765 3.460222800486445 3.4451239822084956 3.4681277199554943 3.465280296668315 3.4506717949608516 3.4600087425107233 3.4544303840745942 3.458739431804096 3.471714678891836 3.4622805096684446 3.467332778479671 3.462541178476857 3.459343717534383 3.476219855812557 3.4656181071634222 3.4486382126266477 3.447655438206369 3.447744637318821 3.4666124949044312 3.4690603092259202 3.4633803641099448 3.452262444807734 3.4669303017712103 3.4501277252412343 3.447722755721028 3.46039090168073 3.451783919178689
2 28 3.2908914489032877 0 0 3.2880665215718725 3.2938329855072355 3.3007029815679907 3.279127308508591 3.2833680261000056 3.2850710262500007 3.2733039125488643 3.295469715992601 3.2897123720182115 3.255211576427709 3.2845968869236355 3.284762505904496 3.279609129436114 3.301013686829205 3.2808684494850744 3.292583540556396 3.294538473826039 3.28811061676984 3.303155611008312 3.2969626743684577 3.25710643874767 3.26922064565438 3.274566080977179 3.296021395521004 3.293804849318105 3.268057938927825 3.2666381514395093 3.2912583667722357 3.276227548373874 3.266134196290863 3.2829719812548097 3.2764866976254203
3 42 3.2140911088440016 0 0 3.2129562896567974 3.215609538092117 3.215878613448932 3.1947808028325757 3.2201279551423787 3.2047156465013065 3.202202523937027 3.215577898747361 3.2081977829740236 3.191730559593368 3.206472153277082 3.204283490451651 3.1830792183522627 3.226188955551135 3.187111981440875 3.208563088420753 3.2183630812158346 3.2090965810790624 3.2265521720268326 3.241089021323238 3.1853487948063792 3.184337908980422 3.2019036690261227 3.2158650637105253 3.234733280016376 3.184475405359232 3.187787805246269 3.216166449464203 3.195666990070628 3.192764720305605 3.193111085234989 3.2066896686855353
4 56 3.090605366174371 0 0 3.0912054309042336 3.093326909183599 3.0910334712721217 3.0743731041854963 3.097169879709396 3.080586759475027 3.0739133899480415 3.0962435682827065 3.088314176368727 3.0642277046897903 3.0903441343469753 3.0677448634472757 3.061387168155415 3.106825819174197 3.0451654269326855 3.0824960194986217 3.083283576989952 3.0873619909279233 3.1047127256947715 3.1086883673765797 3.0513157996960922 3.0604624679973624 3.0756822653796085 3.0723492345677395 3.10360892280175 3.0511259379623032 3.0752854812846286 3.0959276234606112 3.0733299258071907 3.064147858395653 3.0627833584641837 3.0800616259028515
5 70 3.0132563359098743 0 0 3.0063168442241297 3.0241168390857323 3.007509807516861 2.9932522377257333 3.039672050767801 2.9849166170320367 2.997396755159387 3.0222924944745255 3.0044320156804973 2.9914982282204745 3.0054917754975445 2.992798089772498 2.977847840256436 3.0279296903661947 2.9534515252726994 3.000927722230311 2.9996823799900754 3.008968721966124 3.0229775301174846 3.030070456114091 2.9645579249246836 2.982989905783637 2.9928106915223225 3.0061213618718323 3.01770696830653 2.9676851715001438 3.002549673326093 3.029954320850618 2.996864044612142 2.979818418406446 2.982777738675266 3.0128106402197203
6 84 3.0140701438704935 0 0 3.005291442558747 3.027547577992876 3.0106025691038605 2.9978267753766343 3.060301807742058 2.9831940234196708 2.989941185226195 3.0189302564865272 3.0084757814069536 2.9894565507997974 3.005983771226873 2.998815667666618 2.959727193852479 3.03128907224191 2.9590491566208774 2.9879603065559945 2.993697999326725 2.9929409855715394 3.023688277952099 3.0322532957157824 2.9653489076150987 2.9837603867203084 2.9922069326295717 3.0191700336590532 3.044181335609241 2.961875239108908 3.013353114678624 3.0326361928210743 2.984378278368492 2.972543791138333 2.9859220344510544 3.0273735986996093
7 98 2.9558000577266283 0 0 2.950105241348029 2.9521771560104346 2.9548921549409246 2.9349974425839935 3.0004218619529577 2.932529194608472 2.931900285840178 2.9516211656961246 2.946629984285973 2.952076308182871 2.94281688901187 2.927121083911474 2.903339977464523 2.9783940737975456 2.916788434226193 2.9173030143491703 2.9362516027406262 2.930471058730143 2.9653002338413144 2.9714662881711633 2.894109369094746 2.927908541984929 2.9363150978767902 2.9651592702666965 2.991085504092119 2.881699212269223 2.953956432160015 2.9693525198428743 2.922766004818579 2.9133595633793767 2.923676505967382 2.97799782169067
8 112 3.0147570192149815 0 0 3.005348285238495 3.020684752301536 3.0167194993525532 2.9866155874673557 3.0698565534360394 2.988796619940959 2.990037828475087 3.005942890094987 2.996174026134852 3.0346142095434225 2.9986781589123725 3.0028831802444493 2.9630764633426825 3.0328905708527154 2.971476785087373 2.9721800206255624 2.9866761568006335 2.98134767782844 3.0230567810990636 3.0276076850575757 2.9544225545050624 2.9882780847553625 2.998491019872947 3.0340409587866217 3.046231677416928 2.9459260016911446 3.0120504685069958 3.033406495187008 2.975401499684293 2.9856951057701187 2.9787586975122324 3.043249399701035
9 126 3.057937557104687 0 0 3.050751134702019 3.071499575897638 3.068035553512221 3.0284640655255606 3.104177894571096 3.037800781992348 3.038560746259051 3.044975259914273 3.0321072757716396 3.0688237533551224 3.049594412943458 3.0559287576072074 2.99973405484122 3.083169884269466 3.008326413279394 3.0100074231981604 3.025997809931531 3.0252272431264613 3.0485505677761293 3.0696962152871636 3.008767858023704 3.030720604395768 3.042765403552642 3.0834537154697528 3.079733812758336 2.9862689126152504 3.049104286254123 3.0805920033590564 3.0121391771311528 3.0258573496163814 3.033519833604555 3.097921231046934
10 140 3.166972999088977 0 0 3.162023241248713 3.1652840171273002 3.177120613466791 3.1316620659943735 3.215360117483698 3.1468732038735103 3.1440639395892327 3.176558515369218 3.133513307558491 3.2047777029379874 3.164483652957567 3.1559301494772893 3.0960621203339156 3.214037614618347 3.1324860234325365 3.1140503279265657 3.144782861505825 3.152333184299386 3.1623835723754 3.1811349773111512 3.1276851109778336 3.124910049167318 3.150387397834676 3.1868643214227736 3.1789626717021155 3.096615521427427 3.1644563442814344 3.1929383029818994 3.1168869393565166 3.1264656895424356 3.1498010118090405 3.2295320626458786
11 154 3.2380222330868995 0 0 3.23437781448204 3.2386379188162793 3.2530039148376413 3.1899949531481115 3.283162413866158 3.21348867062845 3.1966810475170777 3.245122809151923 3.205118140614781 3.2820410088281293 3.245414071298016 3.2389170702525942 3.168438512886815 3.279704418830098 3.2173037429987206 3.1749924639195632 3.207394642199784 3.222609390171446 3.228973768421787 3.2523807546707517 3.1900927486846755 3.200038226213433 3.2285333144084163 3.2717114044337254 3.2532671021522925 3.16699815571256 3.227116985882236 3.2635659660333816 3.184116896921002 3.2037481860991157 3.2218037501016967 3.3081046746385163
12 168 3.4249767628792265 0 0 3.4304908601976827 3.42933047928204 3.4536618321116688 3.3778594646378073 3.483024333065159 3.3921326659903257 3.422184345325106 3.4541166234907283 3.39540720717648 3.492213086565886 3.4292983755962174 3.4405215159424123 3.3464358757206685 3.464162893890843 3.450896741592228 3.360918654446724 3.3779176366032897 3.4157175904358907 3.41280772078035 3.431654299560332 3.368232714085936 3.3696792852734005 3.412015904011816 3.448074978409891 3.4646280891345307 3.357600351338174 3.417178213002128 3.4397568928365456 3.3639166934453546 3.4026669708287414 3.42900347706496 3.5075291430460367
13 182 3.537611592921281 0 0 3.5423511094051796 3.55039586112537 3.5888643869297385 3.484159897818467 3.6017876546564858 3.505028645533891 3.527147407764883 3.5676975304075533 3.510444774313266 3.622101896266485 3.5302750022836653 3.54575893995696 3.484152511649308 3.5814659256769654 3.5896315007136543 3.4626473871619456 3.4838183675382184 3.514516987677096 3.515583188955365 3.544085550879469 3.4658338265693103 3.4756467486006692 3.5126182573174445 3.578931823484181 3.589518134273309 3.4865546919860093 3.5220705335634803 3.5437338274205046 3.476077497778761 3.5265107093125043 3.547475733874193 3.6411890186680584
