projection_type,lr_call_frequency,preserve_gain_weight,Seed,Final_Gain,Final_Null_Depth,Final_PTNR
hardware_coupled,1,0.1,0,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.1,1,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.1,2,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.1,3,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.1,4,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.5,0,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.5,1,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.5,2,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.5,3,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.5,4,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.9,0,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.9,1,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.9,2,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.9,3,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,1,0.9,4,-5.1699187163807,3.0140124727937385,27.939668290503306
hardware_coupled,2,0.1,0,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.1,1,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.1,2,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.1,3,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.1,4,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.5,0,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.5,1,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.5,2,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.5,3,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.5,4,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.9,0,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.9,1,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.9,2,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.9,3,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,2,0.9,4,-5.489757179032459,9.707251141728197,20.926591158917088
hardware_coupled,5,0.1,0,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.1,1,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.1,2,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.1,3,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.1,4,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.5,0,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.5,1,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.5,2,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.5,3,-7.286986599250522,5.833063985690654,23.003548894736568
