k_active,refinement_steps,step_size,peak_db,null_db,ptnr_db,ptnr_improvement_db,complexity_ops
4,5,0.01,25.750245117252447,5.25721783047875,20.493027286773696,0.2565431791816053,124
4,5,0.05,25.634062902636717,4.578889980473047,21.05517292216367,0.8186888145715798,124
4,5,0.1,25.488046157763137,3.462538925913834,22.025507231849303,1.7890231242572128,124
4,10,0.01,25.70093381994753,4.971131518048809,20.729802301898722,0.4933181943066316,184
4,10,0.05,25.48804615776313,3.462538925913781,22.02550723184935,1.789023124257259,184
4,10,0.1,25.12578950642282,-1.2890967751702511,26.41488628159307,6.178402174000979,184
4,20,0.01,25.658666598259217,4.713587066286281,20.945079531972937,0.7085954243808459,304
4,20,0.05,25.125789506422805,-1.2890967751704807,26.414886281593287,6.178402174001196,304
4,20,0.1,25.028626761171488,-10.53982576446,35.568452525631486,15.331968418039395,304
8,5,0.01,25.786041069593555,4.916403826046353,20.869637243547203,0.6331531359551121,184
8,5,0.05,25.68230126857963,3.5296193035826118,22.152681964997015,1.9161978574049243,184
8,5,0.1,25.536026415657908,1.861147708986453,23.674878706671453,3.4383945990793627,184
8,10,0.01,25.77102886850173,4.271703526608248,21.49932534189348,1.2628412343013906,304
8,10,0.05,25.60263438405943,1.5495705459973057,24.053063838062126,3.8165797304700355,304
8,10,0.1,25.27651984285893,-5.656650392434295,30.933170235293225,10.696686127701135,304
8,20,0.01,25.74904866537875,3.7598491804928718,21.98919948488588,1.7527153772937893,544
8,20,0.05,25.299696904257768,-9.11764383042328,34.41734073468105,14.180856627088957,544
8,20,0.1,25.135982953130927,-33.49538038719075,58.63136334032168,38.394879232729586,544
16,5,0.01,25.76972906263702,4.536970552470945,21.232758510166075,0.9962744025739845,304
16,5,0.05,25.67202055970909,1.3026641555544933,24.369356404154598,4.132872296562507,304
16,5,0.1,25.67768954261199,-4.105807910817692,29.783497453429682,9.547013345837591,304
16,10,0.01,25.759287340176975,3.4843938742813063,22.27489346589567,2.0384093583035785,544
16,10,0.05,25.638241200347466,-3.9855875455505925,29.62382874589806,9.387344638305969,544
16,10,0.1,25.702779500100547,-47.043486637080186,72.74626613718073,52.509782029588635,544
16,20,0.01,25.71820743631421,2.0032960763730205,23.71491135994119,3.4784272523490998,1024
16,20,0.05,25.678751759503818,-51.445374538594905,77.12412629809873,56.88764219050664,1024
16,20,0.1,25.702779500100547,-47.043486637080186,72.74626613718073,52.509782029588635,1024
32,5,0.01,25.75597447503375,3.824544991121062,21.931429483912687,1.6949453763205966,544
32,5,0.05,25.67822181644027,-5.3195807487135784,30.997802565153847,10.761318457561757,544
32,5,0.1,25.702551023069905,-44.636388297943284,70.33893932101319,50.102455213421095,544
32,10,0.01,25.738778197479284,1.8237851893370383,23.914993008142247,3.678508900550156,1024
32,10,0.05,25.64794058909948,-56.179327397641494,81.82726798674098,61.59078387914889,1024
32,10,0.1,25.702551023069905,-44.636388297943284,70.33893932101319,50.102455213421095,1024
32,20,0.01,25.674673261910804,-2.3667942466103282,28.041467508521134,7.804983400929043,1984
32,20,0.05,25.64794058909948,-56.179327397641494,81.82726798674098,61.59078387914889,1984
32,20,0.1,25.702551023069905,-44.636388297943284,70.33893932101319,50.102455213421095,1984
